Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,"A faint, indistinct shape is visible against a textured background.",0.0,0.0,0.122,0.2217
000000435003.jpg,"The image appears to be a heavily distorted, abstract visual pattern.",0.0019,0.0,0.084,0.2314
000000084431.jpg,"A blurry, abstract image with a faint rectangular shape.",0.0012,0.0,0.1667,0.1823
000000402346.jpg,"A blurry, abstract image featuring a light shape and a darker form.",0.0363,0.0,0.3094,0.2009
000000294695.jpg,"A faint, blurry object is visible against a textured background.",0.0317,0.0,0.0917,0.231
000000161642.jpg,"A faint, abstract circular shape is visible against a textured background.",0.0014,0.0,0.1261,0.1885
000000120420.jpg,"A heavily distorted, abstract image with indistinct shapes.",0.001,0.0,0.102,0.209
000000138492.jpg,A blurry image of a standing animal against a textured background.,0.1121,0.0,0.4076,0.2502
000000270677.jpg,A person stands outdoors amidst dense foliage.,0.0,0.0,0.087,0.2769
000000561465.jpg,"A colorful, textured cosmic cloud fills the frame.",0.0,0.0,0.0625,0.0303
000000141821.jpg,"A colorful, abstract cosmic cloud fills the entire frame.",0.0,0.0,0.0617,0.0639
000000448810.jpg,Abstract pattern of intersecting lines over a grid.,0.0012,0.0,0.102,0.1729
000000170116.jpg,"The image is a heavily distorted, abstract pattern of colors.",0.0114,0.0,0.122,0.1901
000000434548.jpg,"A blurry image shows a figure on a field under a ""TUNDRA"" banner.",0.0003,0.0,0.1176,0.2295
000000472623.jpg,"The image is a field of random, multicolored static noise.",0.0007,0.0,0.122,0.1832
000000442463.jpg,A person is running across a grassy field near a tower.,0.0246,0.0625,0.1485,0.2024
000000153797.jpg,"A faint, bright object is visible against a textured background.",0.0012,0.0476,0.137,0.2113
000000200667.jpg,"Abstract, textured pattern with swirling, indistinct shapes.",0.0,0.0,0.0,0.1564
000000471087.jpg,"A faint, blurry image of a person's face is visible.",0.0016,0.0,0.3117,0.2151
000000367569.jpg,"A blurry, indistinct scene with some dark shapes visible.",0.0004,0.1667,0.1235,0.2098
000000239717.jpg,"A colorful, abstract cosmic cloud fills the entire frame.",0.0,0.0,0.0556,0.1122
000000074733.jpg,"Abstract, colorful, and textured image with indistinct shapes.",0.002,0.0,0.0935,0.1519
000000511999.jpg,A blurry view of a train moving through a landscape.,0.1084,0.0,0.1695,0.2307
000000560911.jpg,"A person stands near a large, ornate piece of furniture.",0.0276,0.0,0.3117,0.226
000000351362.jpg,"The image is a field of random, multicolored digital noise.",0.0,0.0,0.122,0.1694
000000025394.jpg,"A blurry figure stands amidst a textured, colorful background.",0.0,0.0,0.1235,0.1713
