Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A large airplane is landing on a runway in a desert-like area.,0.5543,0.1667,0.4208,0.2568
000000435003.jpg,"A cluttered room with a desk, computer, and various items scattered around.",0.0054,0.303,0.3094,0.2766
000000084431.jpg,"A room with a TV, colorful rug, and white walls.",0.0146,0.1765,0.1648,0.1937
000000402346.jpg,A black bowl of tomatoes and a white flower on a wooden table.,1.6386,0.4167,0.6162,0.3496
000000294695.jpg,"A beach scene with people, flags, and a colorful kite flying in the sky.",0.4559,0.0,0.5617,0.3699
000000161642.jpg,A colorful cuckoo clock with a white face and brown roof.,0.183,0.2424,0.1818,0.321
000000120420.jpg,"A person in a green shirt holds a camera, taking a picture outdoors.",0.8161,0.0,0.5053,0.3591
000000138492.jpg,A black and white dog is running with a purple frisbee in its mouth.,0.9331,0.2051,0.5662,0.3826
000000270677.jpg,"A man in a blue shirt stands on a sidewalk, looking up at trees.",0.0349,0.1053,0.2869,0.2727
000000561465.jpg,A plate of food with a blue rim and a brown center.,0.0922,0.25,0.4429,0.2805
000000141821.jpg,A pizza with various toppings sits on a white plate.,0.5141,0.0,0.446,0.2766
000000448810.jpg,A yellow building with windows and a red sign on a pole.,0.1747,0.1765,0.2151,0.245
000000170116.jpg,A blurry scene of a store interior with shelves and various products.,0.0021,0.0,0.2151,0.212
000000434548.jpg,A baseball player in a white uniform stands on the pitcher's mound.,0.5559,0.1667,0.531,0.3047
000000472623.jpg,A person riding a bicycle on a road with a mountain in the background.,0.275,0.0513,0.2972,0.2159
000000442463.jpg,A person in red shirt and black shorts is rollerblading on a white surface.,0.0171,0.1333,0.3035,0.3533
000000153797.jpg,A baseball player in a blue uniform stands on a brown circular field.,0.2963,0.0,0.3358,0.2605
000000200667.jpg,"A blurry scene with indistinct objects, possibly including a chair and a table.",0.0,0.381,0.1064,0.1656
000000471087.jpg,A man in a suit and tie stands against a brick wall.,0.9694,0.1379,0.6593,0.2815
000000367569.jpg,"A cozy living room with a fireplace, couch, and artwork on the wall.",0.3676,0.15,0.6013,0.291
000000239717.jpg,A man in a blue shirt holds a plate of food in a restaurant.,0.5157,0.0606,0.6026,0.3342
000000074733.jpg,A cluttered table with various food items and containers.,0.0492,0.2632,0.1852,0.1759
000000511999.jpg,A yellow train with black windows and roof on a platform.,0.1397,0.1333,0.2676,0.3313
000000560911.jpg,"A person sits on a couch, wearing a red shirt and black pants.",0.1076,0.1739,0.433,0.2891
000000351362.jpg,A white rectangular object with a bright light on top.,0.0973,0.2353,0.2808,0.2208
000000025394.jpg,"A man in a white shirt stands at a wooden table, holding a yellow object.",0.0208,0.0,0.2299,0.2827
000000117374.jpg,"A park scene with a tree, grass, and two black birds on the ground.",0.0135,0.0645,0.284,0.2988
000000439715.jpg,A person in red rides a brown horse with white legs.,0.7187,0.0,0.5261,0.3545
000000201025.jpg,A serene forest scene with sunlight filtering through tall trees.,0.1092,0.0,0.15,0.2157
000000092177.jpg,A beach-themed cake with palm trees and a banner on a blue plate.,0.2148,0.0769,0.3957,0.353
000000468245.jpg,"A cozy bedroom with a bed, windows, and a ceiling fan.",0.2061,0.1765,0.4295,0.2964
000000369037.jpg,"A person in a black shirt stands in front of a large, indistinct object.",0.0149,0.0,0.1744,0.2734
000000135604.jpg,A person in blue shirt and white pants walking on grass.,0.0024,0.1622,0.1205,0.2487
000000302452.jpg,A person with dark hair wearing a white shirt and black pants.,0.0009,0.0,0.1351,0.1577
000000396580.jpg,A white building with a brown roof stands in a forested area.,0.0015,0.0476,0.1725,0.2218
