Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,An airplane is visible on an airfield under a cloudy sky.,0.384,0.0,0.3803,0.2573
000000435003.jpg,A cluttered desk setup with multiple monitors and a chair.,0.7387,0.1333,0.5617,0.2925
000000084431.jpg,"A television screen is visible above a large, blurry object.",0.0017,0.2222,0.1181,0.2607
000000402346.jpg,A red and white flower is above a bowl of red tomatoes.,0.4936,0.2609,0.418,0.3608
000000294695.jpg,People gather on a beach with American flags displayed.,0.4943,0.069,0.4543,0.3262
000000161642.jpg,A clock is mounted on a textured wall.,0.3658,0.129,0.25,0.3074
000000120420.jpg,A person wears a VR headset outdoors in a park.,0.0054,0.0,0.15,0.3125
000000138492.jpg,A black and white dog stands on green grass.,1.0603,0.2424,0.4889,0.2489
000000270677.jpg,"A young man stands in a grassy, wooded area.",0.2108,0.0556,0.4808,0.3149
000000561465.jpg,A close-up shows patterned plates and a dark background.,0.2208,0.4167,0.3635,0.224
000000141821.jpg,A close-up of a pizza next to a beverage.,0.4963,0.1622,0.3384,0.2808
000000448810.jpg,A street signpost with multiple directional signs in a city setting.,0.2851,0.25,0.3125,0.3337
000000170116.jpg,A cluttered bulletin board displays various notices and posters.,0.0007,0.0,0.1111,0.2688
000000434548.jpg,A baseball player in uniform is fielding a ball on the field.,0.8254,0.0833,0.6696,0.3181
000000472623.jpg,"A bicycle rests on a rocky, coastal landscape near the sea.",0.113,0.2326,0.1807,0.3042
000000442463.jpg,A person is skateboarding in a grassy outdoor area.,0.175,0.0625,0.1852,0.3152
000000153797.jpg,A baseball player fields a ball on the infield grass.,0.3616,0.1429,0.5617,0.2717
000000200667.jpg,A close-up view of complex machinery components inside a vehicle.,0.0005,0.381,0.1376,0.2339
000000471087.jpg,A young man in a patterned shirt stands against a brick wall.,0.694,0.1429,0.6222,0.3022
000000367569.jpg,A dimly lit living room with furniture and a fireplace.,0.379,0.1714,0.5439,0.2925
000000239717.jpg,"A man in a dark shirt is visible in a crowded, colorful setting.",0.0307,0.069,0.2128,0.2883
000000074733.jpg,A table is set with drinks and food in a dimly lit setting.,0.0853,0.2222,0.2027,0.2269
000000511999.jpg,A yellow train is stopped at a covered station platform.,0.2427,0.2308,0.2896,0.3223
000000560911.jpg,"A man sits on a couch, looking towards the viewer.",0.4092,0.3,0.5473,0.2908
000000351362.jpg,"A bright, abstract image featuring a central geometric shape.",0.0,0.1935,0.1235,0.1832
000000025394.jpg,A person is holding a white cloth near a table with drinks.,0.0026,0.1026,0.2381,0.3337
000000117374.jpg,A cat sits on sand near a large statue outdoors.,0.137,0.2,0.3357,0.2494
000000439715.jpg,A person in a colorful outfit rides a horse outdoors.,0.6828,0.32,0.446,0.3313
000000201025.jpg,"Two indistinct figures stand in a dark, textured setting.",0.0321,0.1667,0.284,0.2034
000000092177.jpg,"A blue birthday cake with palm trees and a ""Happy 30th"" topper.",0.5866,0.0833,0.5496,0.3064
000000468245.jpg,A bedroom with a bed and windows is shown.,0.4589,0.1765,0.4368,0.3025
000000369037.jpg,"A dark, grainy image shows a figure in armor and another person.",0.0,0.0,0.119,0.1829
000000135604.jpg,A soccer player practices on a grassy field outdoors.,0.9943,0.1176,0.4593,0.2922
000000302452.jpg,A dog stands behind a fence in an enclosure.,0.0665,0.0769,0.2581,0.2317
000000396580.jpg,"A house reflects in dark, rippling water surrounded by trees.",0.1742,0.093,0.2556,0.2913
000000376284.jpg,Cars parked near a metal post on a street.,0.4175,0.2,0.4956,0.2949
000000157756.jpg,A tall illuminated tower stands against a dark night sky.,0.2545,0.1111,0.1271,0.2524
000000456496.jpg,A person sits near a building with a large arch.,0.0436,0.1579,0.3849,0.2117
000000154339.jpg,"A close-up abstract image featuring circular, colorful shapes.",0.0289,0.069,0.1124,0.2493
000000275727.jpg,A yellow and white train travels along railway tracks through trees.,0.7109,0.0,0.4043,0.2888
000000322724.jpg,Skier descends snowy mountain slope under a bright sky.,0.1573,0.1935,0.1111,0.2854
000000367386.jpg,A dimly lit living room with furniture and artwork is visible.,0.4509,0.0,0.5373,0.3032
000000351609.jpg,"A close-up of many round, orange-colored fruits in a basket.",0.0072,0.0,0.3156,0.3037
000000402334.jpg,"A tall, pointed church spire rises against a dramatic blue sky.",0.2605,0.4118,0.3803,0.3054
000000006818.jpg,"A bathroom interior shows a toilet, shower, and wall.",0.1215,0.0667,0.2922,0.3154
000000502910.jpg,"A directional sign points to ""Wegomlegging"" in a hallway.",0.1525,0.0,0.3472,0.3611
000000467176.jpg,People gather in a dimly lit room with electronic equipment.,0.0024,0.125,0.172,0.2725
000000205105.jpg,A player hits a ball during a nighttime sport match.,0.1843,0.069,0.1695,0.3291
000000052591.jpg,A woman in ski gear stands next to a ski pole.,0.2538,0.3158,0.3431,0.3484
000000066038.jpg,People relax under colorful umbrellas on a sandy beach.,1.0479,0.1176,0.5506,0.3572
000000286908.jpg,A collage of various food and still life photographs.,0.1826,0.0833,0.202,0.2842
000000144932.jpg,Two small boats are visible on a vast expanse of water.,0.2793,0.0625,0.3126,0.2925
000000261161.jpg,A dog sits outdoors near a park bench.,0.8721,0.0,0.465,0.3179
000000512194.jpg,A vase of colorful flowers sits on a windowsill overlooking nature.,0.8282,0.16,0.5061,0.3435
000000507473.jpg,A young man is enthusiastically talking on a mobile phone.,0.0013,0.1176,0.15,0.2573
000000232538.jpg,A train passes by a tall smokestack and industrial building.,0.3449,0.1778,0.2321,0.271
000000383289.jpg,A person on a scooter is visible near a parked white car.,0.0051,0.1875,0.1814,0.2642
000000038825.jpg,Zebras graze together in a grassy field.,0.9253,0.3448,0.7577,0.3127
000000256192.jpg,A yellow and black motorcycle is parked in a crowded street.,0.8381,0.0,0.5114,0.302
000000306893.jpg,A train station platform viewed under a large canopy.,0.2468,0.0645,0.2581,0.26
000000356261.jpg,A cow grazes near a rushing river in a green valley.,0.0948,0.16,0.1364,0.3135
000000040757.jpg,"A dimly lit, abstract scene with warm, glowing shapes.",0.0014,0.1026,0.101,0.209
000000063047.jpg,A man stands in front of a traditional Thai-style building.,0.0263,0.2857,0.1379,0.2747
000000502168.jpg,A view of the sea with ships in the distance.,0.4591,0.0476,0.6233,0.2223
000000210502.jpg,A side view of a red and white train car with a striped marking.,0.8772,0.0,0.4523,0.3787
000000232088.jpg,A dimly lit interior room with furniture and a window.,0.4224,0.32,0.5439,0.292
000000095899.jpg,A stop sign and a blue street sign are visible near a construction crane.,1.0417,0.1026,0.4534,0.292
