Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,"A distant airplane flies across a bright, cloudy sky.",0.3035,0.0,0.1852,0.2471
000000435003.jpg,A blurred office interior with computer monitors visible.,0.4816,0.2,0.3546,0.3086
000000084431.jpg,A television is visible behind a blurred plate of food.,0.0757,0.1176,0.1969,0.292
000000402346.jpg,Red tomatoes are in a dark bowl near a white flower.,1.137,0.1739,0.6284,0.3677
000000294695.jpg,Colorful streamers fly over a blurred outdoor event scene.,0.0,0.0625,0.0926,0.2715
000000161642.jpg,"A central, abstract, circular design is visible on a white surface.",0.0022,0.1935,0.1205,0.1993
000000120420.jpg,A person holds a camera to take a picture outdoors.,0.3146,0.0,0.3758,0.3525
000000138492.jpg,A black and white bird with a purple beak stands on green grass.,0.3577,0.0606,0.4699,0.2585
000000270677.jpg,A young man stands outdoors amidst lush green trees.,0.1845,0.0606,0.3205,0.2969
000000561465.jpg,Food items are visible in a blurred indoor setting.,0.1128,0.25,0.1235,0.2593
000000141821.jpg,A pizza rests on a surface near a person's hands.,0.2031,0.0526,0.378,0.3022
000000448810.jpg,A building facade features a horizontal banner design.,0.0,0.0,0.102,0.2288
000000170116.jpg,A close-up view of various printed materials and metal surfaces.,0.0012,0.0,0.1099,0.2295
000000434548.jpg,A baseball player pitches on a dirt mound.,0.5758,0.1739,0.5011,0.3115
000000472623.jpg,Monochrome seascape with dark landmass against a bright horizon.,0.0006,0.0,0.0694,0.2245
000000442463.jpg,A person is skateboarding outdoors on a bright surface.,0.141,0.0,0.3188,0.3464
000000153797.jpg,A baseball player runs on a dirt mound field.,0.3808,0.1364,0.4167,0.2769
000000200667.jpg,"Abstract motion blur captures a dynamic, fast-moving interior scene.",0.0,0.3,0.0617,0.11
000000471087.jpg,A person is visible in a portrait-style photograph.,0.0,0.1538,0.125,0.2428
000000367569.jpg,A blurry interior shot of a living room with a fireplace.,0.341,0.0,0.4518,0.292
000000239717.jpg,"Blurred figures suggest a busy, dynamic indoor gathering.",0.0,0.069,0.0562,0.1902
000000074733.jpg,A table displays drinks and small food items.,0.0822,0.1111,0.2388,0.2283
000000511999.jpg,A yellow train moves past a station platform.,0.1491,0.2308,0.1995,0.3152
000000560911.jpg,A person is standing in an indoor setting.,0.038,0.381,0.125,0.2529
000000351362.jpg,Interior view showing a staircase and light source.,0.0481,0.1379,0.125,0.2168
000000025394.jpg,"A person is seated at a table, engaged in an activity.",0.0154,0.2,0.3079,0.28
000000117374.jpg,Blurred outdoor scene with earthy tones and green background.,0.0007,0.0714,0.0397,0.1925
000000439715.jpg,A horse rider is moving quickly through a wooded area.,0.2924,0.0,0.2556,0.3135
000000201025.jpg,"Dark, leafy foliage suggests a dense, natural outdoor setting.",0.0,0.0,0.0556,0.2366
000000092177.jpg,A blue frosted cake with palm trees on top.,0.3008,0.0741,0.284,0.3174
000000468245.jpg,A dimly lit room with windows and a bed is visible.,0.295,0.1818,0.3125,0.3147
000000369037.jpg,A blurred image of people in motion.,0.0,0.0,0.0633,0.1899
000000135604.jpg,A person runs across a green field.,0.0379,0.1714,0.2061,0.2321
000000302452.jpg,A blurred image shows a bird in an enclosure.,0.0005,0.0714,0.119,0.2576
000000396580.jpg,Abstract streaks of green and muted tones dominate the frame.,0.0022,0.0,0.1,0.1915
000000376284.jpg,Blurred urban scene with hints of buildings and colors.,0.0026,0.0,0.0556,0.2208
000000157756.jpg,"A dark, blurred cityscape with a prominent tall building.",0.0024,0.0,0.1282,0.1853
000000456496.jpg,A person walks across a blurred outdoor surface.,0.0,0.2051,0.125,0.2009
000000154339.jpg,"Abstract, colorful shapes blur against a dark background.",0.0434,0.125,0.102,0.2493
000000275727.jpg,A yellow train moves along railway tracks outdoors.,0.5361,0.0833,0.3546,0.2883
000000322724.jpg,A person jumps against a bright blue sky.,0.042,0.1935,0.1685,0.2622
000000367386.jpg,A blurred living room interior with windows and a couch.,0.4108,0.0,0.4537,0.2964
000000351609.jpg,Orange-colored food items are in a metal bowl.,0.1613,0.0,0.3194,0.2966
000000402334.jpg,A tall church spire rises against a blue sky.,0.4043,0.3125,0.3897,0.3096
000000006818.jpg,"A bright, modern interior space with white walls and furniture.",0.0127,0.0667,0.1376,0.1752
000000502910.jpg,A blurred orange and white object moves past a dark doorway.,0.0394,0.0,0.1205,0.2469
000000467176.jpg,A blurry indoor scene shows various objects and figures.,0.0,0.0,0.0505,0.2539
000000205105.jpg,A blurred figure is in motion on a sports field.,0.0043,0.0667,0.2556,0.2605
000000052591.jpg,Silhouetted figures are walking in an outdoor setting.,0.0005,0.3158,0.0562,0.1609
000000066038.jpg,Colorful umbrellas dot a sandy beach scene.,0.1983,0.1143,0.3995,0.3428
000000286908.jpg,A collection of various food items is displayed.,0.2166,0.2308,0.2041,0.281
000000144932.jpg,Blurred streaks suggest fast motion against a pale background.,0.0,0.129,0.0556,0.236
000000261161.jpg,A dog runs across a park setting.,0.3944,0.0606,0.3235,0.2212
000000512194.jpg,Vibrant yellow and green colors dominate the abstract scene.,0.0012,0.0952,0.0463,0.2231
000000507473.jpg,A person is captured mid-action in a brightly lit room.,0.0012,0.0,0.15,0.2366
000000232538.jpg,A modern city scene with a tall building and passing train.,0.0014,0.0488,0.1205,0.2771
000000383289.jpg,A person on a bicycle moves past a parked car.,0.0041,0.0606,0.1835,0.2947
000000038825.jpg,Striped animals are walking across a green grassy area.,0.1653,0.0,0.3155,0.3181
000000256192.jpg,A bright yellow and black sport bike speeds through a city street.,0.3213,0.0833,0.4373,0.2913
000000306893.jpg,"A blurred interior view of a busy, modern space.",0.0034,0.0606,0.1736,0.2494
000000356261.jpg,A blurry outdoor scene features green grass and a body of water.,0.0561,0.0,0.1802,0.2749
000000040757.jpg,A dimly lit scene with indistinct figures and objects.,0.0017,0.1538,0.101,0.2301
000000063047.jpg,A person walks past a green-roofed building outdoors.,0.0176,0.0,0.3546,0.22
000000502168.jpg,A hazy seascape with distant ships and a foreground structure.,0.0888,0.0465,0.122,0.2021
000000210502.jpg,A side view of a white vehicle with a dark window.,0.058,0.0,0.4055,0.3176
000000232088.jpg,A blurry interior shot of a modern living space.,0.1162,0.0769,0.1709,0.3032
000000095899.jpg,A red stop sign and a blue street sign are visible outdoors.,1.1822,0.0,0.6593,0.2233
000000416451.jpg,People are in a modern office setting.,0.0526,0.0,0.3587,0.2489
000000549738.jpg,A colorful blur streaks past a tall building under a cloudy sky.,0.0885,0.0,0.1786,0.2379
000000502732.jpg,A stainless steel refrigerator is visible in a kitchen setting.,0.752,0.2222,0.446,0.3777
000000474164.jpg,A truck drives past a blurred background under a cloudy sky.,0.2352,0.0556,0.1485,0.2468
000000389316.jpg,"Elephants walk through a dusty, outdoor environment.",0.0,0.0,0.1266,0.2888
000000526728.jpg,Blurred urban scene with indistinct architectural shapes and colors.,0.0022,0.129,0.0505,0.2021
000000435205.jpg,A person is being groomed with a small toy nearby.,0.0204,0.0769,0.2166,0.282
000000312237.jpg,Blurred outdoor scene with a blue sky above.,0.0044,0.129,0.1752,0.224
000000431727.jpg,"Dark shapes move through light, streaking lines.",0.0,0.0,0.0,0.2021
000000226883.jpg,A blurred outdoor scene shows trees and a structure.,0.0072,0.1667,0.4167,0.2458
000000164969.jpg,A pizza is presented on a wooden serving tray.,0.3592,0.0,0.2698,0.3213
000000569059.jpg,A cluttered office desk with a computer monitor is visible.,0.5325,0.129,0.4901,0.3159
000000186980.jpg,Interior scene with warm tones and furniture visible.,0.0043,0.0,0.102,0.2869
000000180383.jpg,A television sits on a wooden table in a room.,0.1973,0.0,0.2747,0.2529
000000545407.jpg,A jet airplane flies across a pale blue sky.,0.7748,0.0,0.3897,0.3015
000000122217.jpg,"Two figures move across a blurred, green outdoor surface.",0.0877,0.1429,0.3155,0.2595
000000005600.jpg,"Two round, brown objects are visible in a bowl.",0.0058,0.1875,0.0926,0.261
000000297396.jpg,"A plate of reddish-brown, ridged food is visible.",0.2189,0.069,0.3681,0.2793
000000386277.jpg,A bright yellow sphere hangs among green leaves.,0.2447,0.093,0.1402,0.2908
000000523241.jpg,A blurred view down a street with a central pole.,0.0343,0.1333,0.2485,0.2776
000000464824.jpg,A person in a striped shirt is moving quickly through a scene.,0.0437,0.0606,0.2287,0.2512
000000032570.jpg,"A surfer rides a wave under bright, cloudy skies.",0.3444,0.0,0.2222,0.2888
000000237928.jpg,A modern kitchen interior with appliances and countertops visible.,0.2855,0.1765,0.3758,0.2856
000000439525.jpg,A person is standing and possibly playing a stringed instrument.,0.004,0.0,0.15,0.1995
000000206579.jpg,A dimly lit indoor scene with a bright light source visible.,0.0022,0.0588,0.2323,0.2401
000000267434.jpg,Blurred outdoor scene with trees and dark shapes.,0.0013,0.0,0.0625,0.1794
000000050006.jpg,"A blurred landscape features water, distant trees, and foreground greenery.",0.0006,0.0645,0.0735,0.2358
000000188906.jpg,Abstract streaks of warm and cool colors blur across the frame.,0.0013,0.0,0.0781,0.1433
000000250758.jpg,A zebra walks across a grassy plain.,0.5229,0.0606,0.3235,0.3093
000000312263.jpg,"A tall, multi-story building facade is visible.",0.0573,0.1739,0.1136,0.2625
000000446651.jpg,Cyclists ride past a blurred urban background.,0.0,0.0526,0.1136,0.2461
000000145597.jpg,A group of people are gathered outdoors in a lively setting.,0.1377,0.0,0.5261,0.2959
000000122606.jpg,"A modern, white bus is shown in motion.",0.2854,0.0606,0.2044,0.3308
000000417085.jpg,Tall modern buildings rise above a blurred landscape.,0.0,0.0377,0.0467,0.1984
000000092839.jpg,A blurred image suggests a dog in motion.,0.0007,0.0513,0.1293,0.1925
000000533493.jpg,Two figures are depicted in motion against a light blue background.,0.0792,0.0,0.198,0.2491
000000494427.jpg,A laptop displays a dark screen with blue text.,0.2949,0.1935,0.284,0.2883
000000438907.jpg,Skateboarder jumps over a low barrier in an urban setting.,0.0003,0.0476,0.1829,0.2954
000000246436.jpg,A person cooks food in a kitchen setting.,0.2068,0.0,0.4551,0.3203
000000060886.jpg,Blurred figures move across a green and brown field.,0.0007,0.0,0.0794,0.1943
000000291791.jpg,A motorcycle speeds across a bright green field.,0.359,0.1818,0.2041,0.2812
000000294163.jpg,"A tall, blue tower stands against a bright blue sky.",0.4445,0.0976,0.4689,0.3062
000000350405.jpg,A vehicle moves quickly across a bright blue sky.,0.0213,0.0625,0.1667,0.261
000000456662.jpg,A blurred image of a person in a doorway.,0.0118,0.0,0.202,0.2542
000000286708.jpg,A black and white cat wears a bright pink hat.,0.4161,0.0588,0.699,0.3521
000000005477.jpg,A golden airplane flies across a blue sky.,0.5455,0.0,0.3194,0.3135
000000486573.jpg,Blurred view of a green outdoor scene and a building.,0.0022,0.2069,0.15,0.23
000000369675.jpg,A red and white train moves rapidly past a blurred background.,0.6237,0.1429,0.5556,0.2776
000000164115.jpg,Blurred urban scene with abstract shapes and light streaks.,0.0009,0.0,0.0556,0.2012
000000113403.jpg,A blurry image shows a stuffed animal on a light-colored surface.,0.1182,0.0,0.2778,0.2905
000000127530.jpg,A tennis player swings a racket during a match.,0.5806,0.0,0.7687,0.2656
000000384136.jpg,A person is holding and using a microphone indoors.,0.0348,0.0667,0.3188,0.3096
000000419408.jpg,Green foliage and tree trunks dominate the scene.,0.0014,0.0,0.0625,0.2388
000000548524.jpg,Horizon line separates blue sky and ocean.,0.1183,0.0,0.0568,0.2551
000000187513.jpg,A blurred interior shot shows kitchen cabinets and counters.,0.004,0.0,0.101,0.2554
000000118594.jpg,A brown and white animal runs past a fence.,0.0681,0.1905,0.354,0.3428
000000539143.jpg,A yellow and purple train moves along railway tracks.,0.6619,0.2222,0.3472,0.3103
000000169356.jpg,People walk past a row of parked bicycles.,0.0002,0.0,0.08,0.1294
000000494863.jpg,"A train travels past a mountainous, forested landscape.",0.3361,0.0,0.295,0.3157
000000217753.jpg,A display of various colorful packaged foods is visible.,0.2045,0.0952,0.284,0.3079
000000491213.jpg,A motorcycle moves quickly down a paved street.,0.3332,0.0,0.2388,0.2869
000000374551.jpg,Abstract streaks of brown and gray suggest motion.,0.0798,0.2759,0.1531,0.2185
000000482477.jpg,"A bird is depicted in a dynamic, streaked motion against a light background.",0.367,0.0769,0.3612,0.2793
000000521259.jpg,"People walk outdoors in a bright, urban setting.",0.0001,0.0,0.1904,0.2534
000000134096.jpg,A black and orange cat is running across a light-colored floor.,0.1427,0.3636,0.1807,0.244
000000288685.jpg,Horses run across a green field with blurred background.,0.0681,0.0541,0.2366,0.1947
000000094751.jpg,Blurred cityscape with tall structures against a light blue sky.,0.049,0.0714,0.0787,0.224
000000293245.jpg,A motorcycle is moving quickly down a paved street.,0.5287,0.0,0.4167,0.2625
000000167122.jpg,Nighttime scene with distant lights against a dark background.,0.1582,0.0667,0.2338,0.2546
000000447187.jpg,Baseball players are actively engaged in a game on a field.,0.1526,0.0,0.4848,0.3105
000000350002.jpg,"A person is captured in motion, appearing to walk or move quickly.",0.0042,0.0556,0.1613,0.2001
000000553664.jpg,A laptop sits on a wooden desk in a library setting.,0.2461,0.1333,0.4043,0.2581
000000246968.jpg,A kitchen counter with various items is visible in the background.,0.2952,0.0645,0.3803,0.3054
000000129054.jpg,Green field with vertical stalks in the distance.,0.0079,0.0667,0.2388,0.2135
000000138241.jpg,"Plates with food are visible in a warm, soft-focus setting.",0.1761,0.0,0.3591,0.2629
000000574297.jpg,A rider on a horse moves across a dusty path.,0.7357,0.0606,0.3613,0.2883
000000328117.jpg,"A metal container holds bright orange, round objects.",0.1828,0.0,0.125,0.2561
000000192699.jpg,Two cyclists ride through a blurred forest path.,0.117,0.0,0.1685,0.2793
000000344611.jpg,A road curves past trees under a cloudy sky.,0.04,0.1,0.1235,0.1959
000000153510.jpg,"A close-up of a colorful, textured food dish.",0.0024,0.0,0.1531,0.271
000000576031.jpg,"A person in motion against a bright, blurred background.",0.0186,0.25,0.3155,0.2399
000000108864.jpg,Three elephants walk across a grassy plain.,0.4551,0.0,0.1266,0.3206
000000370677.jpg,A crowd of people in various colored clothing moves quickly.,0.0517,0.125,0.1376,0.1921
000000502347.jpg,A faint contrail streaks across a clear blue sky above hills.,0.138,0.0,0.253,0.2527
000000098018.jpg,Interior scene with furniture and a bright light source visible.,0.0053,0.0,0.172,0.2595
000000384666.jpg,Skiers move across a snowy slope in motion.,0.1671,0.0,0.1875,0.323
000000101068.jpg,A baseball player swings a bat on a grassy field.,1.0358,0.0,0.6881,0.2947
